numero,id_voie,lon,lat,appartement,valeur_locative
27,29082_z0j8ab,-4.01305,48.746014,1,0
31,29082_z0j8ab,-4.01295,48.746205,1,0
1,29082_b092,-4.012606,48.746493,1,0
3,29082_b092,-4.012578,48.746516,1,0
5,29082_b092,-4.012524,48.746552,1,0
7,29082_b092,-4.012306,48.746681,1,0
9,29082_b092,-4.012093,48.746784,1,0
11,29082_b092,-4.011951,48.746856,1,0
13,29082_b092,-4.01185,48.746899,1,0
15,29082_b092,-4.011519,48.747078,1,0
16,29082_b092,-4.011226,48.747105,1,0
17,29082_b092,-4.011352,48.747221,1,0
18,29082_b092,-4.011243,48.747243,1,0
19,29082_b092,-4.011405,48.74737,1,0
1,29082_vhkujz,-4.011499,48.747648,1,0
2,29082_vhkujz,-4.011229,48.747825,1,0
3,29082_vhkujz,-4.011425,48.747687,1,0
4,29082_vhkujz,-4.010862,48.747888,1,0
5,29082_vhkujz,-4.011336,48.748013,1,0
7,29082_vhkujz,-4.011361,48.74827,1,0
9,29082_vhkujz,-4.011283,48.748499,1,0
10,29082_vhkujz,-4.010185,48.748636,1,0
11,29082_vhkujz,-4.010982,48.748672,1,0
12,29082_vhkujz,-4.010115,48.748746,1,0
13,29082_vhkujz,-4.010933,48.748683,1,0
14,29082_vhkujz,-4.009881,48.748837,1,0
16,29082_vhkujz,-4.010076,48.748914,1,0
18,29082_vhkujz,-4.010277,48.748781,1,0
20,29082_vhkujz,-4.010756,48.748761,2,0
21,29082_vhkujz,-4.011163,48.749463,1,0
23,29082_vhkujz,-4.011133,48.749611,1,0
25,29082_vhkujz,-4.011124,48.749677,1,0
27,29082_vhkujz,-4.011357,48.749794,1,0
28,29082_vhkujz,-4.01061,48.750376,1,0
29,29082_vhkujz,-4.010833,48.750026,1,0
30,29082_vhkujz,-4.010255,48.750774,1,0
31,29082_vhkujz,-4.010766,48.750147,1,0
32,29082_vhkujz,-4.010172,48.750783,1,0
33,29082_vhkujz,-4.010712,48.750342,1,0
34,29082_vhkujz,-4.009892,48.75066,1,0
35,29082_vhkujz,-4.010666,48.750631,1,0
36,29082_vhkujz,-4.009713,48.750526,1,0
37,29082_vhkujz,-4.010492,48.750913,1,0
38,29082_vhkujz,-4.009792,48.750354,1,0
39,29082_vhkujz,-4.011213,48.750924,1,0
40,29082_vhkujz,-4.009584,48.750455,1,0
41,29082_vhkujz,-4.011646,48.750932,1,0
42,29082_vhkujz,-4.009514,48.750563,1,0
43,29082_vhkujz,-4.01053,48.751032,1,0
44,29082_vhkujz,-4.010304,48.750856,1,0
46,29082_vhkujz,-4.010366,48.751039,1,0
4,29082_wjy19b,-4.027304,48.746145,1,0
8,29082_wjy19b,-4.027503,48.746437,1,0
10,29082_wjy19b,-4.027644,48.746644,1,0
1,29082_ltkxrv,-4.00589,48.741549,1,0
2,29082_ltkxrv,-4.00587,48.74122,1,0
3,29082_ltkxrv,-4.005808,48.74136,1,0
5,29082_ltkxrv,-4.005609,48.741033,1,0
7,29082_ltkxrv,-4.005607,48.741054,1,0
1,29082_3eeoia,-4.016179,48.745096,1,0
3,29082_3eeoia,-4.016273,48.745068,1,0
5,29082_3eeoia,-4.015988,48.745165,1,0
7,29082_3eeoia,-4.01646,48.745381,1,0
8,29082_3eeoia,-4.015916,48.745183,1,0
